mel	output	text
mels/reagan_1964_068.pt	reagan_1964_068.wav	Senator Humphrey last week charged that Barry Goldwater as president would seek to eliminate farmers.
mels/reagan_1983_23_3_179.pt	reagan_1983_23_3_179.wav	This adds up to a major effort, and it isn't cheap.
mels/cooke_2004-02-13_061.pt	cooke_2004-02-13_061.wav	You had tuberculosis or lung cancer, just take a good nip of the lung tonic and ah, that's better.
mels/plomley_1958_008.pt	plomley_1958_008.wav	here is Miss Agnes Nichols
mels/reagan_1964_058.pt	reagan_1964_058.wav	They knew that governments don't control things.
mels/reagan_1981_18_11_149.pt	reagan_1981_18_11_149.wav	Wherever there's oppression, we must strive for the peace and security of individuals as well as states.
mels/reagan_1988_25_1_064.pt	reagan_1988_25_1_064.wav	Last year of the 13 appropriations bills due by October 1st, none of them made it.
mels/nibhriain_1991-05-23_007.pt	nibhriain_1991-05-23_007.wav	Well, how has your performance and how has your material and all of that?
mels/reagan_1982_8_6_167.pt	reagan_1982_8_6_167.wav	In the next spring there will be a conference of world authorities on constitutionalism and self-government hosted by the Chief Justice of the United States.
mels/cooke_1974-12-23_089.pt	cooke_1974-12-23_089.wav	Ten years from now I declared there had been a couple of stimulants before lunch.
mels/cooke_1996-03-22_060.pt	cooke_1996-03-22_060.wav	But here again and I mean over here a wholesaler who serves any big city.
mels/reagan_1981_23_12_035.pt	reagan_1981_23_12_035.wav	As I speak to you tonight, the fate of a proud and ancient nation hangs in the balance.
mels/cooke_1951-11-01_017.pt	cooke_1951-11-01_017.wav	He turns to a great empty map of America, empty that is except for the mountain ranges likely sketched in.
mels/reagan_1981_18_11_004.pt	reagan_1981_18_11_004.wav	I'd like to read you a few paragraphs from that letter.
mels/reagan_1987_21_7_090.pt	reagan_1987_21_7_090.wav	They know that we do not have deficits because people are taxed too little.
mels/lockwood_1980_081.pt	lockwood_1980_081.wav	It's absolutely fatal.
mels/reagan_1982_20_9_063.pt	reagan_1982_20_9_063.wav	but I'm also determined to press ahead in the broader effort to achieve peace between Israel and its Arab neighbors.
mels/cooke_2002-11-08_035.pt	cooke_2002-11-08_035.wav	Millions of people were quite willing to reveal their secret vote.
mels/thatcher_1959_005.pt	thatcher_1959_005.wav	Well, I think we'll just try to be a very good back bench of first.
mels/reagan_1983_25_1_193.pt	reagan_1983_25_1_193.wav	As we begin our third year, we have put in place a defense program that redeems the neglect of the past decade.
mels/reagan_1985_5_5_048.pt	reagan_1985_5_5_048.wav	That this cruelty too will end and that peace and tranquility will return again.
mels/reagan_1985_21_11_023.pt	reagan_1985_21_11_023.wav	I explained our proposals for equitable, verifiable and deep reductions.
mels/queen_2002_020.pt	queen_2002_020.wav	It is often difficult to keep this sense of perspective through the ups and downs of everyday life, as this year has constantly reminded me.
mels/nibhriain_1981-10-02_026.pt	nibhriain_1981-10-02_026.wav	I mean, do you think that they will change, that women will change or, or what?
mels/dunne_2009-06-05_024.pt	dunne_2009-06-05_024.wav	Some sunny breaks in the west in the morning but rain in the east will spread westwards during the day.
mels/lockwood_1951_074.pt	lockwood_1951_074.wav	And I've been very fond of it ever since.
mels/cooke_1997-03-28_003.pt	cooke_1997-03-28_003.wav	only half ingest he replied, I'm not allowed to say.
mels/reagan_1982_26_1_013.pt	reagan_1982_26_1_013.wav	Each time unemployment increased and inflation soon turned up again.
mels/reagan_1983_25_1_131.pt	reagan_1983_25_1_131.wav	Tax policy, regulatory practices and government programs all need constant re-evaluation in terms of our competitiveness.
mels/reagan_1982_26_1_123.pt	reagan_1982_26_1_123.wav	The main reason for this is the overpowering growth of federal grants in eight programs during the past few decades.
mels/cooke_1999-11-19_074.pt	cooke_1999-11-19_074.wav	How about a power station twice the height of the Black Bull Tower?
mels/byrne_1984-12-05_014.pt	byrne_1984-12-05_014.wav	But you slugged up and down this country, Kiran.
mels/cooke_1998-11-27_077.pt	cooke_1998-11-27_077.wav	In short, the American people cannot go on forever, spending more than they earn.
mels/dunne_1990-01-17_008.pt	dunne_1990-01-17_008.wav	22-year-old Jerry Carrigan was freed this morning from the top security Paddington Green Police Station.
mels/gogan_1999-12-21_001.pt	gogan_1999-12-21_001.wav	well, I, I, I, one of the, uh, poems in the book is something I know, a pint of plain is only man from flano brine.
mels/reagan_1986_14_9_102.pt	reagan_1986_14_9_102.wav	They came the boat people, chancing death for even a glimmer of hope that they could have a new life.
mels/reagan_1987_4_3_099.pt	reagan_1987_4_3_099.wav	You take your knocks, you learn your lessons, and then you move on.
mels/cooke_1983-06-10_086.pt	cooke_1983-06-10_086.wav	My dear friend, he replied, You don't know what you're doing. It's going to be a labor landslide.
mels/plomley_1968_015.pt	plomley_1968_015.wav	Now you had written your first novel, so this was the pattern for some time at novels and legal work.
mels/queen_2007_015.pt	queen_2007_015.wav	It is all too easy to turn a blind eye, to pass by on the other side and leave it to experts and professionals.
mels/reagan_1981_18_11_134.pt	reagan_1981_18_11_134.wav	At the current Madrid meeting of the conference on security and cooperation in Europe, we are laying the foundation for a Western proposed conference on disarmament in Europe.
mels/cooke_2000-11-24_053.pt	cooke_2000-11-24_053.wav	The one we see now is a 19th century invention and gave up a public prayer of Thanksgiving.
mels/thatcher_2006_004.pt	thatcher_2006_004.wav	I was always pleased to see him when I was Prime Minister, because he brought me extraordinary insights and bold proposals.
mels/reagan_1984_6_6_098.pt	reagan_1984_6_6_098.wav	We want a wipe from the face of the earth, the terrible weapons that man now has in his hands.
mels/reagan_1986_4_2_152.pt	reagan_1986_4_2_152.wav	We know that peace follows in freedom's path and conflicts erupt when the will of the people is denied.
mels/plomley_1985_017.pt	plomley_1985_017.wav	Sheila, you're from South Africa.
mels/cooke_1999-11-19_052.pt	cooke_1999-11-19_052.wav	I saw much trouble ahead.
mels/gogan_1965-01-01_009.pt	gogan_1965-01-01_009.wav	You, you train there to be a model would you?
mels/reagan_1982_26_1_047.pt	reagan_1982_26_1_047.wav	We have made a new beginning, but we have only begun.
mels/reagan_1982_26_1_015.pt	reagan_1982_26_1_015.wav	Government's response to these recessions was to pump up the money supply and increase spending.
mels/finucane_1979-03-14_007.pt	finucane_1979-03-14_007.wav	And yet there was time to be alone if you wanted it.
mels/reagan_1981_20_1_020.pt	reagan_1981_20_1_020.wav	We are going to begin to act, beginning today.
mels/reagan_1985_21_11_061.pt	reagan_1985_21_11_061.wav	And citizens of the Soviet Union need to know of America's deep desire for peace and our un.wavering attachment to freedom.
mels/reagan_1982_26_1_200.pt	reagan_1982_26_1_200.wav	That's why we've laid such stress not only on our own defense, but on our vital foreign assistance program.
mels/thatcher_1973_028.pt	thatcher_1973_028.wav	You've had enough experience to make a decision.
mels/thatcher_2009_025.pt	thatcher_2009_025.wav	so that is our challenge.
mels/cooke_1990-05-17_028.pt	cooke_1990-05-17_028.wav	Where were they now?
mels/cronkite_1990_073.pt	cronkite_1990_073.wav	They're, they're, they're art books.
mels/cooke_1973-10-26_016.pt	cooke_1973-10-26_016.wav	It is if anything more common in European reporting than anywhere.
mels/queen_1995_002.pt	queen_1995_002.wav	Last summer we paid tribute 50 years on to all those who took part in the deadly events of the second world war.
mels/reagan_1994_001.pt	reagan_1994_001.wav	I am delighted to congratulate all of you on Young America's foundation's 15th annual National Conservative Student Conference.
mels/cooke_1970-08-08_017.pt	cooke_1970-08-08_017.wav	I suppose we must all have wondered in a distraught way at some time or other how it all started.
mels/queen_1967_006.pt	queen_1967_006.wav	But now, at least for a few minutes, I welcome you to the piece of my own home.
mels/reagan_1981_27_7_023.pt	reagan_1981_27_7_023.wav	You sent a message that you wanted a new beginning.
mels/queen_1971_007.pt	queen_1971_007.wav	But tragically there are many millions of others for whom this cannot be the same.
mels/cooke_1970-08-08_031.pt	cooke_1970-08-08_031.wav	These two refugees wondered if the American state department had any notion what the coincidence of these two items could signify.
mels/queen_1998_026.pt	queen_1998_026.wav	They are lucky to have the freedom to travel and learn about foreign cultures at an age when the appetite for learning is keen.
mels/queen_1972_018.pt	queen_1972_018.wav	May tolerance and understanding release the people from terror and put gladness in the place of fear.
mels/queen_2009_008.pt	queen_2009_008.wav	This seems to me a right and proper way of showing our enduring debt to those who are killed while actively protecting what is most dear to us all.
mels/cronkite_1963_014.pt	cronkite_1963_014.wav	We just have a report from our correspondent Dan, rather in Dallas, that he has confirmed that President Kennedy is dead.
mels/reagan_1986_14_9_116.pt	reagan_1986_14_9_116.wav	Please remember this when your courage is tested.
mels/thatcher_1983_003.pt	thatcher_1983_003.wav	The state has no source of money other than the money people earn themselves.
mels/reagan_1986_28_1_021.pt	reagan_1986_28_1_021.wav	And I want to say something to the schoolchildren of America who were watching the live coverage of the Shuttle's takeoff.
mels/reagan_1984_21_10_212.pt	reagan_1984_21_10_212.wav	George Bush and I have crossed the country and we've had in these last few months a wonderful experience.
mels/lawlor_1985-10-10_010.pt	lawlor_1985-10-10_010.wav	Or like yourself, the puts in 37 and a half with a pound a week.
mels/cooke_2004-02-13_046.pt	cooke_2004-02-13_046.wav	Spiky hair, goggly glasses, clothes like an unmade bed, high nervous enthusiasm.
mels/reagan_1984_7_10_174.pt	reagan_1984_7_10_174.wav	We found people making 185% of the poverty level were getting government benefits.
mels/reagan_1984_21_10_112.pt	reagan_1984_21_10_112.wav	I think there's a great difference between the government of Iran threatening our diplomatic personnel.
mels/reagan_1981_18_11_115.pt	reagan_1981_18_11_115.wav	The United States proposes to open negotiations on strategic arms as soon as possible next year.
mels/reagan_1987_12_6_002.pt	reagan_1987_12_6_002.wav	24 years ago, president, john f. kennedy, visited Berlin.
mels/cooke_1996-03-22_022.pt	cooke_1996-03-22_022.wav	The ship turned about, we headed into the channel, England faded into the night and we all went below.
mels/thatcher_1989_11_21_010.pt	thatcher_1989_11_21_010.wav	Businesses can once again get a good return on investment.
mels/cooke_1971-06-12_043.pt	cooke_1971-06-12_043.wav	In the Wafes home there was a poor teacher, a colored man, who taught him to play a bugle and a coin it.
mels/reagan_1981_28_4_017.pt	reagan_1981_28_4_017.wav	Thanks to some very fine people, my health is much improved.
mels/reagan_1988_25_1_082.pt	reagan_1988_25_1_082.wav	By acting and approving this plan you have the opportunity to override a congressional process that is out of control.
mels/reagan_1986_4_2_023.pt	reagan_1986_4_2_023.wav	They are why we say tonight, private values must be at the heart of public policies.
mels/reagan_1983_25_1_058.pt	reagan_1983_25_1_058.wav	Unless we reduce the dangerous growth rate in government spending, we could face the progress or prospect of sluggish economic growth into the indefinite future.
mels/reagan_1964_079.pt	reagan_1964_079.wav	The fruit farmers voted against a wheat program.
mels/reagan_1989_11_11_024.pt	reagan_1989_11_11_024.wav	And the sailor was hard at work on the carrier midway, which was patrolling the South China Sea.
mels/reagan_1989_11_11_113.pt	reagan_1989_11_11_113.wav	This belief has been the underlying basis for everything I've tried to do these past eight years.
mels/reagan_1961_035.pt	reagan_1961_035.wav	It is presented in the idea of a great emergency that millions of our senior citizens are unable to provide needed medical care.
mels/queen_1961_002.pt	queen_1961_002.wav	It is traditionally the time for family reunions, present giving, and children's parties.
mels/reagan_1982_16_8_101.pt	reagan_1982_16_8_101.wav	Well, for people who smoke a pack a day, that tax will mean an increase of only $2.40 a month.
mels/reagan_1982_20_9_060.pt	reagan_1982_20_9_060.wav	we succeeded.
mels/reagan_1984_6_6_034.pt	reagan_1984_6_6_034.wav	Lord Love it of Scotland who calmly announced when he got to the bridge.
mels/odulaing_1976-06-29_006.pt	odulaing_1976-06-29_006.wav	As always nowadays called the Skeletori Ayrness, generally the biggest organisation in any country parish, and it's likewise Ron Claire Morris.
mels/queen_2008_3_1_012.pt	queen_2008_3_1_012.wav	If we recognise the interests and needs of the people who are most affected, we can work with them to bring about lasting change.
mels/reagan_1981_18_11_122.pt	reagan_1981_18_11_122.wav	Our approach to verification will be to emphasize openness and creativity rather than the secrecy and suspicion which have undermined confidence in arms control in the past.
mels/cronkite_2007_033.pt	cronkite_2007_033.wav	Now we learn that the Iranians stopped developing nuclear weapons in 2003.
mels/cronkite_1979_010.pt	cronkite_1979_010.wav	Mass care centers were set up in Hershey and York, both about 15 miles from Harrisburg.
mels/reagan_1982_17_6_111.pt	reagan_1982_17_6_111.wav	On May 9th, I announced a phased approach to the reduction of strategic arms.
mels/doyle_1989-07-25_008.pt	doyle_1989-07-25_008.wav	Dublin Corporation has already banned the machines in the city area, Nile Martin reports.
mels/cooke_1971-06-12_021.pt	cooke_1971-06-12_021.wav	Louis Armstrong died last Tuesday, two days after his 71st birthday.
mels/lawlor_2005-10-06_016.pt	lawlor_2005-10-06_016.wav	Do you not give the minister credit for at least saying this is a problem and we've got to stop and fix it?
mels/reagan_1982_26_1_107.pt	reagan_1982_26_1_107.wav	Shortly you will receive from me a message on further reforms we intend to install.
mels/reagan_1988_31_5_012.pt	reagan_1988_31_5_012.wav	I want to talk not just of the realities of today, but of the possibilities of tomorrow.
mels/queen_1960_011.pt	queen_1960_011.wav	Although the causes are beyond the control of individuals, we can at least influence the future via everyday behaviour.
mels/cooke_1951-11-01_072.pt	cooke_1951-11-01_072.wav	For instance, mediocrity practically doesn't exist to a child.
mels/lockwood_1951_021.pt	lockwood_1951_021.wav	It was with Peter Graves.
mels/cooke_1993-03-19_008.pt	cooke_1993-03-19_008.wav	in the end the whole row went to the courts
mels/reagan_1989_11_11_130.pt	reagan_1989_11_11_130.wav	Once during the heavy days of the Moscow Summit, Nancy and I decided to break off from the entourage one afternoon to visit the shops on Arbat Street.
mels/cooke_2002-11-08_011.pt	cooke_2002-11-08_011.wav	I shall do my best to oblige, and tell you why a gist this time may be hard to come by.
mels/odulaing_1997-02-07_014.pt	odulaing_1997-02-07_014.wav	A voice, indeed, for time and eternity, a man of many names, my friend,
mels/reagan_1987_21_7_121.pt	reagan_1987_21_7_121.wav	Excellence is what makes freedom ring, and isn't that what we do best.
mels/reagan_1981_18_11_007.pt	reagan_1981_18_11_007.wav	I went on in my letter to say, the people of the world still share that hope.
mels/reagan_1982_26_1_088.pt	reagan_1982_26_1_088.wav	Funding for social insurance programs will be more than double the amount spent only six years ago.
mels/thatcher_1992_009.pt	thatcher_1992_009.wav	In politics the unexpected happens.
mels/reagan_1987_21_7_043.pt	reagan_1987_21_7_043.wav	While the world is safer, it is not safe.
mels/cooke_1971-06-12_009.pt	cooke_1971-06-12_009.wav	She was frightened by it and a gasped that her son could listen to this jungle band without a blush.
mels/nibhriain_1971-02-07_008.pt	nibhriain_1971-02-07_008.wav	The themes of the movements interact upon each other, in a way which suggests the interaction of the characters, and which helps to give the music a dramatic unity.
mels/reagan_1984_21_10_001.pt	reagan_1984_21_10_001.wav	no hood,
mels/cooke_1973-01-27_050.pt	cooke_1973-01-27_050.wav	In the hope that they will so perform, let us pray.
mels/magee_1977-05-06_025.pt	magee_1977-05-06_025.wav	They threatened to kill the hostages unless their demands were met.
mels/magee_1988-06-09_009.pt	magee_1988-06-09_009.wav	Harry Thurley with whom I worked a lot.
mels/reagan_1989_11_11_208.pt	reagan_1989_11_11_208.wav	That's how I saw it and see it still.
mels/cooke_1965-05-30_014.pt	cooke_1965-05-30_014.wav	I tried to brace her by telling her that she knew more Shakespeare and Milton than the average and had lived with more Sheraton and Heppelwhite than most.
mels/reagan_1988_31_5_022.pt	reagan_1988_31_5_022.wav	They even design better and faster computers.
mels/reagan_1987_4_3_089.pt	reagan_1987_4_3_089.wav	No ifs, ends, or buts.
mels/reagan_1974_038.pt	reagan_1974_038.wav	We did brief the trip down.
mels/reagan_1984_6_6_114.pt	reagan_1984_6_6_114.wav	Thank you very much and God bless you all.
mels/queen_1956_036.pt	queen_1956_036.wav	I wish you all a happy Christmas and a happy New Year.
mels/queen_1959_004.pt	queen_1959_004.wav	All of us at Sandlingham wish you a very happy Christmas.
mels/reagan_1982_8_6_147.pt	reagan_1982_8_6_147.wav	Democracy already flourishes in countries with very different cultures and historical experiences.
mels/reagan_1982_16_8_168.pt	reagan_1982_16_8_168.wav	Together, we can reach that goal.
mels/reagan_1986_22_10_001.pt	reagan_1986_22_10_001.wav	Well thank you and welcome to the White House.
mels/reagan_1988_25_1_078.pt	reagan_1988_25_1_078.wav	I won't even touch that.
mels/cooke_1992-12-04_034.pt	cooke_1992-12-04_034.wav	The continental wide recession made wider still by the lapse in German prosperity.
mels/reagan_1981_18_11_057.pt	reagan_1981_18_11_057.wav	Consider the facts.
mels/cooke_1980-11-06_013.pt	cooke_1980-11-06_013.wav	It took three days, though, to be sure of it.
mels/cooke_1947-01-12_002.pt	cooke_1947-01-12_002.wav	In the year after the dropping of the first atomic bomb, it's very hard to pretend that the new year is the turning point of anything very serious.
mels/reagan_1982_16_8_009.pt	reagan_1982_16_8_009.wav	I'm sure you've heard that we're proposing the largest single tax increase in history.
mels/cooke_2004-02-13_026.pt	cooke_2004-02-13_026.wav	Ruffage was the word for at least a quarter of a century, till it was redefined as brand, a brand product.
mels/cooke_1971-06-12_016.pt	cooke_1971-06-12_016.wav	It simply scared the wits out of her.
mels/queen_1955_001.pt	queen_1955_001.wav	no doubt you have been listening as I have to the messages which have been reaching us from all over the world.
mels/queen_1963_005.pt	queen_1963_005.wav	One such concerted effort has been the campaign to free the world from hunger.
mels/reagan_1983_23_3_123.pt	reagan_1983_23_3_123.wav	But the Soviet Union is also supporting Cuban military forces in Angola and Ethiopia.
mels/reagan_1987_4_3_078.pt	reagan_1987_4_3_078.wav	Already, almost half the NSC professional staff is comprised of new people.
mels/reagan_1985_5_5_058.pt	reagan_1985_5_5_058.wav	Never again.
mels/reagan_1989_11_11_065.pt	reagan_1989_11_11_065.wav	I wasn't a great communicator, but I communicated great things.
mels/queen_1999_006.pt	queen_1999_006.wav	For many of their generation, the future is a source of excitement, hope and challenge.
mels/reagan_1987_4_3_001.pt	reagan_1987_4_3_001.wav	I've spoken to you from this historic office on many occasions and about many things.
mels/reagan_1982_16_8_065.pt	reagan_1982_16_8_065.wav	Oh, yes, I failed to mention that in the quarter just ended, there was an increase in economic growth.
mels/reagan_1987_12_6_100.pt	reagan_1987_12_6_100.wav	You've done so in spite of threats.
mels/cooke_2001-12-21_017.pt	cooke_2001-12-21_017.wav	You know something said Bernstein?
mels/odulaing_1986-06-05_009.pt	odulaing_1986-06-05_009.wav	Tony Gainer recalling the horror of childhood in another horror there in Dacca in Bangladesh.
mels/reagan_1989_11_11_192.pt	reagan_1989_11_11_192.wav	More attention to American history and a greater emphasis on civic ritual.
mels/reagan_1983_23_3_065.pt	reagan_1983_23_3_065.wav	Over the same period the Soviet Union built four new classes of submarine-launched ballistic missiles and over 60 new missile submarines.
mels/cooke_1980-11-06_060.pt	cooke_1980-11-06_060.wav	Do you think America is stronger than it was four years ago?
mels/thatcher_1987_006.pt	thatcher_1987_006.wav	They loved secondary picketing.
mels/cooke_1998-02-16_024.pt	cooke_1998-02-16_024.wav	We're still getting used to the truth of Japan seeing as a rather desperately weak economy.
mels/reagan_1986_14_9_087.pt	reagan_1986_14_9_087.wav	To our friends in foreign countries, we know many of you were involved in this battle with us.
mels/reagan_1981_20_1_075.pt	reagan_1981_20_1_075.wav	Heal them when they are sick and provide opportunity to make themselves sufficient so they will be equally in fact and not just in theory.
mels/reagan_1985_6_2_021.pt	reagan_1985_6_2_021.wav	A revolution carrying us to new heights of progress by pushing back frontiers of knowledge and space.
mels/queen_1966_014.pt	queen_1966_014.wav	We know so much more about what can be achieved.
